turno,fumador,genero,dia,cuenta_total
almuerzo,true,hombre,viernes,8152.02
cena,true,hombre,domingo,9613.5
cena,true,mujer,domingo,3834.3
cena,false,hombre,martes,9952.44
almuerzo,false,hombre,viernes,3493.74
almuerzo,false,hombre,sábado,5201.04
almuerzo,true,hombre,jueves,6442.45
almuerzo,false,hombre,miércoles,11961.48
almuerzo,false,hombre,sábado,13048.37
almuerzo,true,mujer,viernes,7219.38
cena,true,hombre,viernes,6763.13
cena,true,mujer,sábado,6806.25
cena,true,hombre,martes,9007.4
cena,false,hombre,domingo,9661.45
almuerzo,true,mujer,viernes,11717.7
cena,true,mujer,miércoles,7572.05
almuerzo,false,mujer,domingo,8976.01
cena,true,hombre,jueves,3126.08
almuerzo,false,mujer,miércoles,5544.34
almuerzo,true,mujer,jueves,5308.79
almuerzo,true,mujer,jueves,5147.2
almuerzo,false,hombre,domingo,8952.09
almuerzo,false,mujer,miércoles,9601.26
almuerzo,true,mujer,domingo,9458.02
almuerzo,false,hombre,martes,9183.06
cena,true,mujer,domingo,8398.94
cena,false,hombre,miércoles,4491.49
almuerzo,false,mujer,viernes,5836.39
almuerzo,false,mujer,jueves,6977.79
cena,true,hombre,jueves,9856.53
cena,false,hombre,miércoles,9590.81
cena,false,hombre,martes,8446.89
almuerzo,false,hombre,sábado,5031.83
cena,false,mujer,sábado,5836.74
almuerzo,true,hombre,miércoles,6959.35
almuerzo,true,mujer,martes,5568.64
cena,false,mujer,jueves,8684.15
cena,false,hombre,jueves,6016.23
almuerzo,true,hombre,martes,3907.24
cena,true,hombre,jueves,6295.56
cena,true,mujer,sábado,10234.3
cena,false,mujer,viernes,12374.03
cena,true,hombre,jueves,3034.84
almuerzo,true,hombre,domingo,11966.68
almuerzo,false,mujer,viernes,12320.23
almuerzo,true,hombre,miércoles,4360.79
cena,true,mujer,sábado,12028.99
cena,true,hombre,viernes,8193.77
cena,false,mujer,domingo,5935.55
almuerzo,true,mujer,viernes,6771.02
almuerzo,false,mujer,jueves,6619.5
cena,false,hombre,domingo,8037.75
almuerzo,false,mujer,martes,5822.11
cena,false,mujer,sábado,5248.63
cena,true,mujer,miércoles,9161.59
cena,false,hombre,martes,9469.78
almuerzo,false,mujer,domingo,7612.73
cena,false,mujer,domingo,8547.69
cena,false,mujer,jueves,9826.54
cena,true,hombre,martes,4638.7
almuerzo,true,mujer,viernes,6355.76
almuerzo,false,mujer,miércoles,8069.36
cena,false,mujer,jueves,8446.86
cena,true,hombre,sábado,7703.05
almuerzo,true,hombre,martes,7553.7
cena,false,hombre,domingo,11638.43
almuerzo,true,mujer,sábado,5044.05
cena,false,mujer,jueves,7548.1
almuerzo,true,hombre,miércoles,11619.18
almuerzo,false,mujer,viernes,5897.69
almuerzo,true,mujer,sábado,8455.29
cena,false,hombre,jueves,7763.91
almuerzo,true,mujer,martes,7514.67
cena,false,mujer,miércoles,15919.56
cena,false,mujer,martes,7447.05
cena,true,hombre,martes,949.15
almuerzo,true,mujer,jueves,6538.97
cena,false,mujer,jueves,12732.31
almuerzo,false,hombre,jueves,6567.07
cena,false,hombre,martes,7712.84
cena,true,hombre,martes,6818.98
almuerzo,false,mujer,viernes,4165.08
almuerzo,true,mujer,sábado,15541.9
cena,true,hombre,sábado,9441.02
almuerzo,true,hombre,sábado,8718.22
almuerzo,true,hombre,domingo,7702.07
cena,false,mujer,sábado,8592.81
almuerzo,false,mujer,miércoles,7602.84
cena,false,mujer,miércoles,6536.43
almuerzo,false,mujer,domingo,2863.08
almuerzo,false,mujer,jueves,5603.25
almuerzo,true,hombre,domingo,8369.0
almuerzo,true,hombre,sábado,8652.13
cena,false,mujer,viernes,12180.69
almuerzo,true,mujer,martes,6985.5
almuerzo,true,hombre,domingo,7918.18
cena,false,mujer,martes,9791.95
almuerzo,true,mujer,viernes,9144.91
almuerzo,false,mujer,martes,3661.89
cena,false,hombre,sábado,10859.56
cena,true,hombre,viernes,7904.82
cena,false,mujer,viernes,9597.97
cena,false,mujer,sábado,9851.54
cena,false,hombre,martes,11215.34
almuerzo,false,mujer,viernes,12620.7
cena,true,hombre,miércoles,5752.4
cena,true,hombre,viernes,10595.31
cena,false,hombre,martes,4482.91
cena,false,mujer,miércoles,4848.14
cena,false,hombre,jueves,3629.67
almuerzo,false,hombre,viernes,7301.64
almuerzo,true,hombre,martes,6620.55
cena,true,mujer,martes,1051.98
cena,false,hombre,viernes,5534.5
cena,true,mujer,miércoles,8174.51
almuerzo,true,mujer,domingo,1806.67
cena,false,mujer,sábado,4523.75
almuerzo,true,mujer,sábado,7355.39
cena,true,mujer,miércoles,6593.94
almuerzo,false,hombre,viernes,12216.3
almuerzo,false,mujer,jueves,-1580.74
almuerzo,true,mujer,martes,11940.02
cena,true,mujer,sábado,6969.75
cena,false,hombre,domingo,3718.23
almuerzo,false,mujer,miércoles,10851.32
almuerzo,false,hombre,domingo,5630.23
cena,false,hombre,viernes,7348.74
cena,false,mujer,jueves,8322.31
cena,false,mujer,martes,7345.18
almuerzo,false,mujer,domingo,9742.12
cena,true,hombre,miércoles,3133.3
almuerzo,true,mujer,sábado,10688.18
almuerzo,false,mujer,martes,7489.31
almuerzo,true,mujer,sábado,4876.46
cena,false,hombre,viernes,8881.56
cena,true,hombre,miércoles,1720.13
cena,false,mujer,martes,8559.98
almuerzo,true,hombre,sábado,8927.0
almuerzo,true,hombre,sábado,8092.93
almuerzo,false,hombre,sábado,11010.42
cena,true,hombre,miércoles,5819.67
cena,false,hombre,domingo,7745.58
cena,true,hombre,miércoles,8142.46
almuerzo,true,mujer,sábado,9115.02
almuerzo,false,mujer,viernes,5706.52
almuerzo,true,hombre,miércoles,12341.72
cena,false,mujer,viernes,8258.33
almuerzo,false,mujer,domingo,10961.4
almuerzo,false,hombre,sábado,12855.76
cena,true,hombre,jueves,10335.95
cena,true,mujer,miércoles,10385.54
cena,true,hombre,jueves,5284.24
cena,false,hombre,miércoles,8806.62
almuerzo,false,hombre,martes,6622.52
cena,false,hombre,miércoles,2978.94
almuerzo,false,hombre,jueves,6923.23
cena,true,mujer,sábado,9172.52
almuerzo,true,mujer,domingo,7159.29
almuerzo,false,hombre,jueves,4011.89
cena,false,mujer,sábado,9487.09
cena,true,hombre,viernes,11963.01
almuerzo,false,mujer,martes,12022.1
almuerzo,true,hombre,miércoles,8213.71
cena,false,hombre,jueves,5147.28
almuerzo,true,mujer,viernes,3725.46
cena,false,mujer,domingo,2666.75
cena,true,mujer,sábado,5372.85
cena,false,mujer,sábado,4856.3
cena,true,mujer,martes,5423.5
cena,true,mujer,sábado,5735.29
cena,false,hombre,martes,3755.73
almuerzo,true,hombre,domingo,5433.18
cena,false,mujer,jueves,7193.19
almuerzo,false,mujer,miércoles,9190.6
almuerzo,false,hombre,martes,1257.63
cena,false,mujer,jueves,9735.54
cena,true,hombre,viernes,9534.9
almuerzo,true,hombre,martes,8745.81
cena,true,hombre,domingo,8680.48
almuerzo,true,hombre,jueves,8851.46
cena,false,mujer,viernes,6592.2
almuerzo,true,mujer,jueves,7197.89
cena,true,hombre,viernes,5588.98
cena,true,hombre,sábado,6425.46
cena,true,mujer,domingo,8591.1
cena,true,mujer,viernes,6238.14
almuerzo,false,mujer,martes,8611.45
cena,false,mujer,domingo,6919.32
almuerzo,false,hombre,martes,5943.49
cena,true,mujer,jueves,6100.65
cena,true,hombre,miércoles,7161.38
cena,true,hombre,sábado,11243.15
almuerzo,false,mujer,viernes,11455.93
cena,true,hombre,miércoles,8937.96
cena,false,mujer,martes,7465.26
almuerzo,false,mujer,viernes,3492.73
almuerzo,false,hombre,martes,939.02
cena,true,mujer,sábado,6389.12
cena,true,mujer,martes,8412.29
cena,true,hombre,sábado,4937.68
cena,true,mujer,miércoles,3786.52
almuerzo,true,hombre,miércoles,8947.03
almuerzo,false,hombre,jueves,7171.29
cena,false,mujer,viernes,9400.11
cena,false,hombre,domingo,6173.01
cena,false,hombre,sábado,4993.51
almuerzo,true,mujer,viernes,8102.3
almuerzo,false,mujer,domingo,4976.97
almuerzo,false,hombre,domingo,7857.19
almuerzo,false,mujer,domingo,9458.06
almuerzo,false,mujer,sábado,6194.98
cena,false,mujer,miércoles,4007.63
cena,false,hombre,martes,7639.39
cena,false,mujer,martes,11803.42
cena,false,hombre,sábado,3935.14
almuerzo,false,hombre,viernes,7665.39
cena,true,mujer,miércoles,5854.83
cena,false,hombre,sábado,8603.24
almuerzo,false,mujer,viernes,11823.49
almuerzo,false,hombre,jueves,7161.65
almuerzo,false,mujer,sábado,4713.23
cena,false,mujer,martes,10027.53
almuerzo,true,mujer,sábado,8879.6
cena,true,mujer,domingo,10071.09
cena,true,mujer,miércoles,11386.24
almuerzo,false,hombre,martes,6097.75
almuerzo,false,mujer,jueves,6004.42
almuerzo,false,mujer,domingo,12294.57
almuerzo,false,mujer,viernes,4704.74
cena,true,mujer,viernes,11226.41
cena,true,hombre,miércoles,8149.11
cena,false,mujer,miércoles,6459.57
cena,true,mujer,sábado,3439.7
almuerzo,true,mujer,viernes,5831.05
almuerzo,false,mujer,domingo,9846.41
cena,true,hombre,martes,8354.85
cena,true,mujer,jueves,6883.14
cena,false,hombre,martes,7724.67
cena,true,hombre,martes,11296.95
almuerzo,true,hombre,domingo,8951.97
almuerzo,false,hombre,martes,10080.07
almuerzo,true,hombre,domingo,5954.97
cena,true,hombre,domingo,6579.82
almuerzo,false,mujer,viernes,10667.59
almuerzo,true,mujer,sábado,10352.1
almuerzo,false,hombre,miércoles,7872.08
almuerzo,true,hombre,miércoles,9685.32
cena,false,mujer,sábado,9015.06
cena,false,mujer,domingo,6875.67
cena,false,mujer,domingo,6364.09
cena,true,mujer,martes,6607.04
almuerzo,false,hombre,viernes,10414.13
almuerzo,true,hombre,martes,-2598.72
cena,true,mujer,sábado,8370.61
cena,false,hombre,viernes,5236.47
cena,false,mujer,viernes,9862.76
almuerzo,true,mujer,viernes,7331.4
almuerzo,false,mujer,domingo,7172.83
cena,true,mujer,jueves,7796.11
almuerzo,true,mujer,domingo,5020.06
almuerzo,true,hombre,domingo,6895.21
almuerzo,true,mujer,viernes,7813.08
almuerzo,false,hombre,jueves,10459.35
almuerzo,true,hombre,viernes,10836.24
cena,false,mujer,jueves,7075.42
almuerzo,true,mujer,miércoles,7497.19
cena,true,hombre,miércoles,5557.13
almuerzo,true,mujer,miércoles,8444.74
almuerzo,true,mujer,miércoles,3592.0
cena,true,hombre,viernes,3208.93
cena,false,hombre,domingo,3101.82
cena,false,hombre,miércoles,6722.66
cena,false,hombre,domingo,3273.09
cena,true,hombre,domingo,6196.53
almuerzo,true,mujer,miércoles,5344.29
almuerzo,false,hombre,viernes,3317.72
cena,false,mujer,miércoles,7341.5
almuerzo,false,mujer,martes,10792.61
almuerzo,false,hombre,martes,5390.61
almuerzo,false,hombre,miércoles,6164.4
cena,true,hombre,sábado,7682.75
cena,true,mujer,sábado,4930.02
cena,true,hombre,sábado,7646.94
cena,true,hombre,jueves,8128.5
almuerzo,true,hombre,viernes,12373.37
almuerzo,false,mujer,jueves,7698.22
cena,true,hombre,viernes,6237.97
cena,false,hombre,sábado,10447.98
almuerzo,true,hombre,miércoles,8811.5
almuerzo,true,mujer,viernes,8962.44
cena,false,mujer,domingo,4744.13
almuerzo,true,mujer,jueves,7904.11
cena,true,hombre,miércoles,8209.39
cena,false,hombre,martes,11841.06
cena,true,mujer,martes,8961.28
almuerzo,false,hombre,miércoles,9484.85
almuerzo,true,hombre,domingo,8977.1
almuerzo,false,hombre,viernes,6410.52
almuerzo,false,mujer,jueves,10292.62
cena,false,mujer,jueves,5693.89
almuerzo,false,hombre,martes,6195.26
almuerzo,false,hombre,viernes,11103.41
almuerzo,true,hombre,martes,11167.81
almuerzo,false,hombre,martes,9537.11
almuerzo,false,mujer,sábado,7540.53
cena,false,mujer,martes,4703.58
almuerzo,false,hombre,jueves,10791.5
cena,false,mujer,martes,3623.56
cena,true,mujer,domingo,9631.89
almuerzo,false,mujer,viernes,3999.55
almuerzo,false,mujer,domingo,10983.76
almuerzo,false,hombre,miércoles,5671.12
almuerzo,false,hombre,sábado,4139.36
almuerzo,false,mujer,sábado,4361.3
almuerzo,true,mujer,miércoles,3741.26
almuerzo,true,hombre,martes,9800.55
almuerzo,false,hombre,viernes,6063.81
almuerzo,false,mujer,domingo,8018.87
almuerzo,true,mujer,viernes,12172.67
cena,true,hombre,martes,5976.16
almuerzo,false,hombre,martes,5561.66
almuerzo,false,mujer,martes,7389.62
cena,true,mujer,domingo,6797.14
cena,false,mujer,sábado,3079.01
cena,true,hombre,domingo,6067.38
cena,false,mujer,miércoles,8695.47
cena,true,mujer,jueves,7726.26
almuerzo,true,hombre,viernes,10895.66
cena,false,mujer,domingo,11032.68
cena,false,mujer,miércoles,10000.27
cena,true,mujer,sábado,9559.02
almuerzo,false,hombre,domingo,7540.13
almuerzo,false,mujer,domingo,9347.04
cena,false,mujer,jueves,9742.81
cena,false,mujer,jueves,6056.51
cena,true,hombre,sábado,8314.86
cena,false,mujer,viernes,5851.19
almuerzo,false,hombre,jueves,5663.73
almuerzo,false,hombre,jueves,11870.9
almuerzo,true,mujer,viernes,7457.7
cena,true,mujer,sábado,4391.36
cena,false,mujer,jueves,11201.15
cena,false,mujer,jueves,4684.52
almuerzo,false,hombre,miércoles,11738.84
cena,true,hombre,domingo,6478.93
almuerzo,true,hombre,martes,3679.82
almuerzo,true,mujer,domingo,9132.53
cena,false,hombre,martes,7591.69
almuerzo,true,mujer,domingo,10465.24
cena,false,mujer,martes,8863.59
almuerzo,false,mujer,viernes,8464.01
cena,true,mujer,jueves,8164.71
cena,false,mujer,miércoles,10752.19
cena,true,mujer,jueves,10652.73
cena,true,mujer,viernes,6947.3
cena,true,mujer,jueves,5992.23
almuerzo,true,mujer,miércoles,10072.79
almuerzo,true,mujer,jueves,4447.34
almuerzo,true,hombre,viernes,8525.62
almuerzo,true,mujer,sábado,9097.86
cena,true,mujer,domingo,10328.21
cena,false,hombre,jueves,6710.23
cena,false,hombre,sábado,5839.79
almuerzo,true,hombre,jueves,6791.99
cena,true,hombre,viernes,6568.07
cena,false,mujer,martes,4172.26
almuerzo,true,hombre,miércoles,7213.4
almuerzo,true,hombre,jueves,6784.89
almuerzo,true,hombre,domingo,9553.15
cena,true,hombre,viernes,2331.82
almuerzo,false,hombre,martes,9810.95
almuerzo,true,hombre,sábado,5007.09
cena,true,hombre,martes,8376.75
almuerzo,true,hombre,domingo,6149.02
almuerzo,false,hombre,viernes,10459.09
cena,false,hombre,domingo,10397.33
cena,false,mujer,domingo,7730.89
cena,false,hombre,miércoles,9657.92
cena,true,mujer,martes,7248.65
cena,false,hombre,domingo,10095.63
almuerzo,true,mujer,miércoles,8601.02
almuerzo,true,hombre,domingo,8807.22
almuerzo,true,mujer,jueves,11991.42
almuerzo,false,mujer,sábado,10769.53
cena,false,mujer,viernes,6734.18
cena,true,mujer,miércoles,5396.74
almuerzo,true,hombre,martes,9509.07
cena,false,mujer,domingo,4274.68
almuerzo,false,hombre,viernes,9194.84
almuerzo,false,hombre,domingo,8983.48
almuerzo,true,mujer,miércoles,10169.76
cena,false,mujer,domingo,4836.21
almuerzo,true,mujer,martes,5863.11
cena,false,hombre,martes,11068.45
cena,false,mujer,domingo,4165.61
almuerzo,false,mujer,miércoles,8053.12
cena,false,hombre,jueves,9180.59
cena,true,hombre,martes,5657.85
cena,true,hombre,domingo,4998.0
almuerzo,true,mujer,domingo,9568.09
almuerzo,false,hombre,domingo,5186.9
almuerzo,true,hombre,domingo,7260.11
cena,true,hombre,miércoles,9667.98
cena,false,mujer,miércoles,10516.49
cena,false,hombre,domingo,7387.29
cena,false,hombre,jueves,9515.68
cena,false,hombre,miércoles,5165.67
almuerzo,false,mujer,sábado,10885.39
cena,true,mujer,sábado,10547.92
almuerzo,true,mujer,domingo,3518.05
almuerzo,true,hombre,jueves,5261.74
almuerzo,false,mujer,domingo,7042.88
cena,true,mujer,miércoles,5393.78
almuerzo,true,mujer,martes,5553.8
almuerzo,true,mujer,jueves,4876.08
cena,false,hombre,domingo,7275.86
almuerzo,true,mujer,sábado,8912.4
almuerzo,false,mujer,viernes,7791.68
almuerzo,false,mujer,sábado,10060.95
almuerzo,true,hombre,domingo,7712.01
cena,false,mujer,domingo,9066.1
cena,true,mujer,viernes,10122.78
cena,false,mujer,sábado,10279.86
almuerzo,false,mujer,martes,10090.71
almuerzo,true,hombre,jueves,7433.01
cena,true,mujer,martes,8542.56
almuerzo,false,mujer,miércoles,5253.45
cena,false,hombre,jueves,9627.82
almuerzo,true,hombre,martes,4108.55
almuerzo,true,mujer,martes,5604.36
almuerzo,false,mujer,sábado,4525.07
almuerzo,true,hombre,jueves,8651.27
cena,false,hombre,miércoles,7661.36
cena,true,hombre,domingo,6314.46
cena,false,hombre,martes,9863.85
almuerzo,true,mujer,sábado,3202.46
cena,false,mujer,martes,8040.96
almuerzo,true,mujer,domingo,10543.02
almuerzo,true,hombre,martes,6538.87
almuerzo,true,mujer,miércoles,4259.71
almuerzo,true,mujer,sábado,6593.69
cena,true,mujer,miércoles,8812.5
cena,true,mujer,jueves,5434.39
cena,false,hombre,martes,10442.79
cena,false,mujer,sábado,4072.48
almuerzo,true,hombre,jueves,7236.87
cena,false,mujer,viernes,6795.69
cena,false,hombre,jueves,7538.71
almuerzo,false,mujer,martes,7031.93
almuerzo,true,hombre,jueves,4743.68
cena,false,hombre,sábado,1636.77
almuerzo,false,hombre,sábado,6630.73
cena,false,hombre,viernes,6221.87
cena,true,hombre,miércoles,9053.4
cena,false,hombre,martes,11950.32
almuerzo,true,mujer,sábado,4714.53
almuerzo,true,mujer,sábado,5958.44
almuerzo,true,hombre,miércoles,3008.87
cena,false,hombre,sábado,8324.66
almuerzo,false,hombre,sábado,11527.75
cena,true,hombre,martes,8021.43
cena,true,mujer,sábado,11957.78
almuerzo,true,hombre,martes,5747.2
almuerzo,true,mujer,martes,9693.85
cena,false,mujer,sábado,3685.16
almuerzo,true,mujer,martes,9076.47
almuerzo,true,hombre,viernes,11389.83
cena,true,mujer,domingo,8158.82
almuerzo,true,hombre,domingo,8777.49
cena,false,mujer,domingo,5937.3
cena,true,mujer,sábado,9357.15
almuerzo,false,mujer,miércoles,2592.62
almuerzo,false,hombre,jueves,6165.09
almuerzo,false,hombre,viernes,8952.51
cena,false,mujer,viernes,8166.71
almuerzo,false,hombre,jueves,8953.06
almuerzo,false,mujer,sábado,7985.74
cena,true,hombre,miércoles,9880.77
almuerzo,false,hombre,viernes,9226.12
cena,false,mujer,martes,9510.34
almuerzo,true,mujer,miércoles,9911.17
cena,true,hombre,miércoles,8647.89
almuerzo,false,hombre,viernes,3378.43
almuerzo,false,mujer,sábado,8865.47
cena,false,mujer,domingo,4303.21
cena,true,mujer,jueves,7222.18
cena,true,mujer,domingo,7259.68
almuerzo,true,hombre,domingo,3603.18
cena,true,mujer,jueves,12408.3
almuerzo,true,mujer,sábado,2139.36
almuerzo,false,hombre,viernes,11825.15
almuerzo,true,hombre,domingo,6067.4
cena,true,mujer,sábado,7908.46
almuerzo,false,mujer,viernes,13252.84
almuerzo,true,mujer,jueves,4603.4
cena,false,hombre,viernes,3620.87
almuerzo,true,mujer,martes,5747.55
almuerzo,false,hombre,miércoles,7017.7
almuerzo,false,mujer,jueves,9194.51
cena,true,hombre,miércoles,9709.79
cena,false,hombre,miércoles,6698.9
almuerzo,true,hombre,sábado,9920.67
almuerzo,true,hombre,jueves,8496.31
cena,false,mujer,sábado,6328.89
cena,false,hombre,sábado,6202.62
cena,true,mujer,domingo,3976.93
cena,false,mujer,miércoles,8309.3
cena,true,mujer,jueves,9467.67
almuerzo,true,mujer,jueves,6371.57
almuerzo,false,hombre,domingo,8596.18
cena,true,mujer,miércoles,6884.86
cena,true,mujer,domingo,5527.48
cena,false,mujer,miércoles,3466.96
cena,false,hombre,viernes,9627.04
almuerzo,true,hombre,jueves,9605.94
cena,false,hombre,jueves,12550.92
cena,false,mujer,miércoles,11053.91
cena,true,mujer,miércoles,5576.71
cena,false,hombre,miércoles,5749.18
cena,true,hombre,domingo,4061.05
almuerzo,false,hombre,viernes,8824.14
cena,true,mujer,jueves,8907.9
almuerzo,true,mujer,miércoles,10993.35
almuerzo,false,mujer,sábado,6720.06
almuerzo,true,mujer,martes,11413.44
almuerzo,true,mujer,martes,7482.01
almuerzo,false,mujer,viernes,10921.26
almuerzo,true,hombre,sábado,4055.02
cena,true,hombre,viernes,7039.32
almuerzo,false,hombre,martes,5194.21
almuerzo,true,mujer,martes,8153.47
almuerzo,true,hombre,sábado,6290.82
almuerzo,false,mujer,sábado,10137.06
almuerzo,false,hombre,domingo,6830.71
almuerzo,true,mujer,jueves,10203.63
almuerzo,false,hombre,sábado,8950.44
cena,true,hombre,miércoles,8621.97
cena,false,mujer,jueves,9608.5
cena,true,mujer,domingo,6686.24
cena,false,mujer,miércoles,9103.52
cena,false,hombre,miércoles,7896.88
cena,false,hombre,jueves,7293.94
almuerzo,false,hombre,domingo,3433.91
almuerzo,false,hombre,martes,12122.81
almuerzo,true,mujer,miércoles,9796.47
almuerzo,true,hombre,martes,4626.8
almuerzo,false,mujer,domingo,6632.61
almuerzo,true,hombre,domingo,10955.13
almuerzo,false,mujer,domingo,6874.71
almuerzo,false,mujer,martes,1512.83
almuerzo,false,hombre,domingo,2501.09
almuerzo,true,hombre,martes,8403.21
cena,false,mujer,domingo,5619.54
almuerzo,true,hombre,domingo,8358.33
almuerzo,false,mujer,domingo,3492.37
cena,true,hombre,domingo,4028.57
almuerzo,false,hombre,martes,5502.02
almuerzo,true,mujer,viernes,8782.08
almuerzo,true,mujer,jueves,8578.42
cena,false,mujer,domingo,8456.05
almuerzo,true,mujer,domingo,7801.36
cena,false,mujer,miércoles,5680.44
almuerzo,false,mujer,domingo,4184.3
almuerzo,true,hombre,martes,7441.53
almuerzo,true,hombre,sábado,6769.92
cena,true,mujer,viernes,11190.87
almuerzo,false,mujer,jueves,7411.54
almuerzo,false,hombre,viernes,3795.27
cena,true,mujer,jueves,8376.65
almuerzo,false,mujer,miércoles,6793.0
almuerzo,false,mujer,martes,7103.55
cena,true,hombre,miércoles,5706.81
almuerzo,false,mujer,domingo,8210.44
cena,true,hombre,miércoles,2109.17
cena,true,hombre,jueves,4730.62
almuerzo,false,hombre,jueves,12504.05
cena,true,mujer,miércoles,7082.0
almuerzo,false,mujer,viernes,4369.56
cena,true,mujer,viernes,3644.96
almuerzo,true,hombre,jueves,4381.41
cena,true,hombre,domingo,2809.17
almuerzo,true,mujer,domingo,5763.36
cena,true,hombre,sábado,2757.0
cena,false,hombre,sábado,7749.11
almuerzo,false,hombre,miércoles,8008.81
cena,true,mujer,viernes,10030.51
cena,true,mujer,sábado,7431.41
cena,true,mujer,viernes,5993.39
cena,true,hombre,domingo,9622.51
cena,false,mujer,miércoles,8321.1
cena,true,mujer,domingo,11505.94
almuerzo,false,hombre,miércoles,5280.56
almuerzo,false,mujer,jueves,8085.47
almuerzo,true,mujer,martes,6986.96
almuerzo,true,hombre,sábado,7283.35
almuerzo,false,hombre,domingo,9950.18
cena,true,mujer,viernes,6826.87
cena,false,mujer,sábado,7145.26
